"Date","TotalKgActiveSubstanceSold","AverageAntibioticsRealPricePerKg","AvrakningsprisKrPerKg","RealAvrakningsprisKrPerKg","headCount","companyCount","ln_AverageAntibioticsRealPricePerKg","ln_TotalKgActiveSubstanceSold","ln_headCount","ln_RealAvrakningsprisKrPerKg","ln_companyCount"
2010-03-01,91.83,2177.191142572,1338.67,1790.36165182703,1522108,1735,7.68579085828611,4.51993904162543,14.2356067741504,7.49017291855428,7.45876269238096
2010-04-01,65.4,2186.93900945589,1340.79,1793.19697845859,1521356,1721,7.69025813252196,4.18052225846315,14.2351126003962,7.49175532728019,7.45066079621154
2010-05-01,74.22,2183.29526321065,1362.89,1822.75392117441,1520627,1708,7.68859060311176,4.30703365563245,14.2346333077677,7.50810377992516,7.44307837434852
2010-06-01,65.88,2251.27019475418,1402.85,1876.19715334291,1519874,1695,7.71924986691265,4.18783490530944,14.2341379946497,7.53700221644462,7.43543801981455
2010-07-01,77.01,2157.68514481563,1422.83,1902.91876942716,1516810,1662,7.6767912337905,4.34393528355116,14.2321200032882,7.55114418085024,7.41577697541539
2010-08-01,70.11,2183.36934762413,1422.83,1902.91876942716,1513643,1628,7.68862453492017,4.25006543721888,14.2300298859671,7.55114418085024,7.39510754656249
2010-09-01,66.99,2177.38194477729,1442.8,1929.62701132918,1510477,1595,7.68587849131078,4.20454335452018,14.2279360529468,7.56508200484346,7.37462901521894
2010-10-01,68.805,2222.42675360823,1476.38,1974.53751523855,1507412,1562,7.70635501008827,4.23127641671724,14.2259048310869,7.5880894804138,7.35372233039963
2010-11-01,61.92,2208.80116861472,1532.06,2049.00496186373,1504246,1528,7.70020518968803,4.12584322928147,14.2238023339466,7.62510956983857,7.33171496972647
2010-12-01,70.14,2280.44328443584,1457.15,1948.81896282113,1501181,1495,7.73212512604896,4.25049324471203,14.2217626896215,7.5749788079799,7.30988148582479
2011-01-01,72.495,2143.51733325034,1427.52,1909.19126089038,1498015,1462,7.67020337242957,4.28351759396516,14.2196514563603,7.55443500775398,7.28756064030972
2011-02-01,55.065,2066.67400226658,1261.26,1686.83210722834,1494848,1428,7.6336958318426,4.00851430561691,14.2175350873971,7.43060755609269,7.26403014289953
2011-03-01,65.1,2116.34957735873,1274.05,1703.93768629328,1491988,1397,7.65744798602434,4.17592454921452,14.2156200168181,7.44069713764388,7.24208235925696
